Date,Irradiance (kWh/m^2/day)
2018-01-01T00:00:00.000000,1.63
2018-01-02T00:00:00.000000,1.12
2018-01-03T00:00:00.000000,1.08
2018-01-04T00:00:00.000000,2.04
2018-01-05T00:00:00.000000,1.68
2018-01-06T00:00:00.000000,1.8
2018-01-07T00:00:00.000000,0.69
2018-01-08T00:00:00.000000,0.59
2018-01-09T00:00:00.000000,0.72
2018-01-10T00:00:00.000000,1.54
2018-01-11T00:00:00.000000,0.82
2018-01-12T00:00:00.000000,0.62
2018-01-13T00:00:00.000000,2.26
2018-01-14T00:00:00.000000,1.93
2018-01-15T00:00:00.000000,1.02
2018-01-16T00:00:00.000000,1.55
2018-01-17T00:00:00.000000,2.19
2018-01-18T00:00:00.000000,0.81
2018-01-19T00:00:00.000000,2.28
2018-01-20T00:00:00.000000,1.85
2018-01-21T00:00:00.000000,1.34
2018-01-22T00:00:00.000000,0.62
2018-01-23T00:00:00.000000,1.34
2018-01-24T00:00:00.000000,2.52
2018-01-25T00:00:00.000000,2.23
2018-01-26T00:00:00.000000,2.51
2018-01-27T00:00:00.000000,1.01
2018-01-28T00:00:00.000000,2.27
2018-01-29T00:00:00.000000,1.07
2018-01-30T00:00:00.000000,2.41
2018-01-31T00:00:00.000000,1.08
2018-02-01T00:00:00.000000,1.9
2018-02-02T00:00:00.000000,2.55
2018-02-03T00:00:00.000000,1.93
2018-02-04T00:00:00.000000,0.89
2018-02-05T00:00:00.000000,2.2
2018-02-06T00:00:00.000000,2.26
2018-02-07T00:00:00.000000,1.49
2018-02-08T00:00:00.000000,1.96
2018-02-09T00:00:00.000000,1.33
2018-02-10T00:00:00.000000,0.81
2018-02-11T00:00:00.000000,0.79
2018-02-12T00:00:00.000000,2.63
2018-02-13T00:00:00.000000,2.4
2018-02-14T00:00:00.000000,3.33
2018-02-15T00:00:00.000000,1.25
2018-02-16T00:00:00.000000,3.18
2018-02-17T00:00:00.000000,1.58
2018-02-18T00:00:00.000000,2.68
2018-02-19T00:00:00.000000,0.88
2018-02-20T00:00:00.000000,0.93
2018-02-21T00:00:00.000000,1.67
2018-02-22T00:00:00.000000,1.8
2018-02-23T00:00:00.000000,0.87
2018-02-24T00:00:00.000000,2.11
2018-02-25T00:00:00.000000,3.75
2018-02-26T00:00:00.000000,4.42
2018-02-27T00:00:00.000000,4.31
2018-02-28T00:00:00.000000,3.53
2018-03-01T00:00:00.000000,1.51
2018-03-02T00:00:00.000000,3.14
2018-03-03T00:00:00.000000,4.5
2018-03-04T00:00:00.000000,4.67
2018-03-05T00:00:00.000000,4.01
2018-03-06T00:00:00.000000,1.22
2018-03-07T00:00:00.000000,1.5
2018-03-08T00:00:00.000000,2.19
2018-03-09T00:00:00.000000,2.5
2018-03-10T00:00:00.000000,2.8
2018-03-11T00:00:00.000000,3.56
2018-03-12T00:00:00.000000,2.38
2018-03-13T00:00:00.000000,3.09
2018-03-14T00:00:00.000000,2.46
2018-03-15T00:00:00.000000,3.49
2018-03-16T00:00:00.000000,4.59
2018-03-17T00:00:00.000000,5.44
