"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.94","43.17","HAMILTON A","6153193","2022-01-01","2022","01","01","","4.4","","-3.2","","0.6","","17.4","","0.0","","0.0","","4.4","","5.2","","0","T","3","","39",""
"-79.94","43.17","HAMILTON A","6153193","2022-01-02","2022","01","02","","-3.3","","-14.7","","-9.0","","27.0","","0.0","","0.0","","2.6","","2.6","","6","","2","","45",""
"-79.94","43.17","HAMILTON A","6153193","2022-01-03","2022","01","03","","-6.2","","-15.2","","-10.7","","28.7","","0.0","","0.0","","0.0","","0.0","","7","","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2022-01-04","2022","01","04","","1.3","","-8.9","","-3.8","","21.8","","0.0","","0.0","","0.0","T","0.0","T","4","","21","","42",""
"-79.94","43.17","HAMILTON A","6153193","2022-01-05","2022","01","05","","3.3","","-7.3","","-2.0","","20.0","","0.0","","0.7","","0.0","T","0.7","","4","","23","","81",""
"-79.94","43.17","HAMILTON A","6153193","2022-01-06","2022","01","06","","-3.3","","-8.6","","-6.0","","24.0","","0.0","","0.0","","0.0","T","0.0","T","0","T","24","","61",""
"-79.94","43.17","HAMILTON A","6153193","2022-01-07","2022","01","07","","-6.0","","-12.8","","-9.4","","27.4","","0.0","","0.0","","0.0","T","0.0","T","0","T","27","","46",""
"-79.94","43.17","HAMILTON A","6153193","2022-01-08","2022","01","08","","0.4","","-13.5","","-6.6","","24.6","","0.0","","0.0","","0.0","T","0.0","T","0","T","21","","57",""
"-79.94","43.17","HAMILTON A","6153193","2022-01-09","2022","01","09","","3.1","","-8.7","","-2.8","","20.8","","0.0","","1.6","","0.0","T","1.6","","0","T","27","","68",""
"-79.94","43.17","HAMILTON A","6153193","2022-01-10","2022","01","10","","-8.7","","-15.2","","-12.0","","30.0","","0.0","","0.0","","0.5","","0.5","","0","T","27","","60",""
"-79.94","43.17","HAMILTON A","6153193","2022-01-11","2022","01","11","","-3.9","","-17.7","","-10.8","","28.8","","0.0","","0.0","","0.0","T","0.0","T","1","","20","","60",""
"-79.94","43.17","HAMILTON A","6153193","2022-01-12","2022","01","12","","1.1","","-4.1","","-1.5","","19.5","","0.0","","0.0","","0.0","T","0.0","T","0","T","24","","64",""
"-79.94","43.17","HAMILTON A","6153193","2022-01-13","2022","01","13","","0.4","","-4.6","","-2.1","","20.1","","0.0","","0.0","","0.0","T","0.0","T","0","T","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2022-01-14","2022","01","14","","-2.6","","-16.6","","-9.6","","27.6","","0.0","","0.0","","0.0","T","0.0","T","0","T","3","","39",""
"-79.94","43.17","HAMILTON A","6153193","2022-01-15","2022","01","15","","-13.2","","-20.4","","-16.8","","34.8","","0.0","","0.0","","0.0","T","0.0","T","0","T","3","","39",""
"-79.94","43.17","HAMILTON A","6153193","2022-01-16","2022","01","16","","-3.5","","-17.4","","-10.5","","28.5","","0.0","","0.0","","4.6","","4.3","","0","T","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2022-01-17","2022","01","17","","-2.8","","-5.8","","-4.3","","22.3","","0.0","","0.0","","18.0","","17.6","","11","","30","","59",""
"-79.94","43.17","HAMILTON A","6153193","2022-01-18","2022","01","18","","-1.8","","-8.6","","-5.2","","23.2","","0.0","","0.0","","0.4","","0.4","","22","","19","","46",""
"-79.94","43.17","HAMILTON A","6153193","2022-01-19","2022","01","19","","4.5","","-7.1","","-1.3","","19.3","","0.0","","0.0","","0.0","T","0.0","T","20","","21","","55",""
"-79.94","43.17","HAMILTON A","6153193","2022-01-20","2022","01","20","","-7.0","","-17.2","","-12.1","","30.1","","0.0","","0.0","","0.0","T","0.0","T","10","","33","","35",""
"-79.94","43.17","HAMILTON A","6153193","2022-01-21","2022","01","21","","-10.2","","-20.0","","-15.1","","33.1","","0.0","","0.0","","0.0","T","0.0","T","8","","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2022-01-22","2022","01","22","","-4.7","","-19.9","","-12.3","","30.3","","0.0","","0.0","","0.8","","0.4","","8","","21","","58",""
"-79.94","43.17","HAMILTON A","6153193","2022-01-23","2022","01","23","","-4.9","","-20.8","","-12.9","","30.9","","0.0","","0.0","","0.0","T","0.0","T","9","","22","","41",""
"-79.94","43.17","HAMILTON A","6153193","2022-01-24","2022","01","24","","-6.2","","-22.1","","-14.2","","32.2","","0.0","","0.0","","3.4","","3.2","","9","","19","","40",""
"-79.94","43.17","HAMILTON A","6153193","2022-01-25","2022","01","25","","-6.3","","-13.5","","-9.9","","27.9","","0.0","","0.0","","0.0","T","0.0","T","13","","29","","36",""
"-79.94","43.17","HAMILTON A","6153193","2022-01-26","2022","01","26","","-8.7","","-14.8","","-11.8","","29.8","","0.0","","0.0","","0.0","T","0.0","T","12","","21","","39",""
"-79.94","43.17","HAMILTON A","6153193","2022-01-27","2022","01","27","","-4.2","","-10.4","","-7.3","","25.3","","0.0","","0.0","","0.8","","0.8","","10","","22","","58",""
"-79.94","43.17","HAMILTON A","6153193","2022-01-28","2022","01","28","","-4.7","","-19.3","","-12.0","","30.0","","0.0","","0.0","","0.0","T","0.0","T","10","","2","","39",""
"-79.94","43.17","HAMILTON A","6153193","2022-01-29","2022","01","29","","-10.9","","-21.4","","-16.2","","34.2","","0.0","","0.0","","0.0","","0.0","","10","","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2022-01-30","2022","01","30","","-6.4","","-17.8","","-12.1","","30.1","","0.0","","0.0","","0.0","","0.0","","10","","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2022-01-31","2022","01","31","","-2.0","","-14.0","","-8.0","","26.0","","0.0","","0.0","","0.0","","0.0","","10","","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2022-02-01","2022","02","01","","4.2","","-8.0","","-1.9","","19.9","","0.0","","0.0","T","0.0","","0.0","T","8","","18","","55",""
