time,is_weekend,is_holiday,period,tou_rate,tiered_rate,kWh
2024-01-01 04:00:00,False,True,winter,0.087,0.103,0.0
2024-01-01 08:00:00,False,True,winter,0.087,0.103,0.0
2024-01-01 09:00:00,False,True,winter,0.087,0.103,0.016
2024-01-01 10:00:00,False,True,winter,0.087,0.103,0.064
2024-01-01 11:00:00,False,True,winter,0.087,0.103,0.07
2024-01-01 12:00:00,False,True,winter,0.087,0.103,0.069
2024-01-01 13:00:00,False,True,winter,0.087,0.103,0.066
2024-01-01 14:00:00,False,True,winter,0.087,0.103,0.04
2024-01-01 15:00:00,False,True,winter,0.087,0.103,0.002
2024-01-01 16:00:00,False,True,winter,0.087,0.103,0.0
2024-01-01 18:00:00,False,True,winter,0.087,0.103,0.0
2024-01-02 04:00:00,False,False,winter,0.087,0.103,0.0
2024-01-02 08:00:00,False,False,winter,0.182,0.103,0.007
2024-01-02 09:00:00,False,False,winter,0.182,0.103,0.091
2024-01-02 10:00:00,False,False,winter,0.182,0.103,0.192
2024-01-02 11:00:00,False,False,winter,0.182,0.103,0.676
2024-01-02 12:00:00,False,False,winter,0.122,0.103,0.881
2024-01-02 13:00:00,False,False,winter,0.122,0.103,0.656
2024-01-02 14:00:00,False,False,winter,0.122,0.103,0.361
2024-01-02 15:00:00,False,False,winter,0.122,0.103,0.107
2024-01-02 16:00:00,False,False,winter,0.122,0.103,0.009
2024-01-02 18:00:00,False,False,winter,0.182,0.103,0.0
2024-01-03 04:00:00,False,False,winter,0.087,0.103,0.0
2024-01-03 07:00:00,False,False,winter,0.182,0.103,0.0
2024-01-03 08:00:00,False,False,winter,0.182,0.103,0.022
2024-01-03 09:00:00,False,False,winter,0.182,0.103,0.12
2024-01-03 10:00:00,False,False,winter,0.182,0.103,0.231
2024-01-03 11:00:00,False,False,winter,0.182,0.103,0.304
2024-01-03 12:00:00,False,False,winter,0.122,0.103,0.487
2024-01-03 13:00:00,False,False,winter,0.122,0.103,0.416
2024-01-03 14:00:00,False,False,winter,0.122,0.103,0.22
2024-01-03 15:00:00,False,False,winter,0.122,0.103,0.09
2024-01-03 16:00:00,False,False,winter,0.122,0.103,0.007
2024-01-03 18:00:00,False,False,winter,0.182,0.103,0.0
2024-01-04 04:00:00,False,False,winter,0.087,0.103,0.0
2024-01-04 07:00:00,False,False,winter,0.182,0.103,0.0
2024-01-04 08:00:00,False,False,winter,0.182,0.103,0.521
2024-01-04 09:00:00,False,False,winter,0.182,0.103,1.826
2024-01-04 10:00:00,False,False,winter,0.182,0.103,3.161
2024-01-04 11:00:00,False,False,winter,0.182,0.103,4.027
2024-01-04 12:00:00,False,False,winter,0.122,0.103,4.415
2024-01-04 13:00:00,False,False,winter,0.122,0.103,4.047
2024-01-04 14:00:00,False,False,winter,0.122,0.103,3.693
2024-01-04 15:00:00,False,False,winter,0.122,0.103,1.933
2024-01-04 16:00:00,False,False,winter,0.122,0.103,0.088
2024-01-04 17:00:00,False,False,winter,0.182,0.103,0.0
2024-01-04 18:00:00,False,False,winter,0.182,0.103,0.0
2024-01-05 05:00:00,False,False,winter,0.087,0.103,0.0
2024-01-05 07:00:00,False,False,winter,0.182,0.103,0.0
2024-01-05 08:00:00,False,False,winter,0.182,0.103,0.049
2024-01-05 09:00:00,False,False,winter,0.182,0.103,0.197
2024-01-05 10:00:00,False,False,winter,0.182,0.103,0.354
2024-01-05 11:00:00,False,False,winter,0.182,0.103,0.626
2024-01-05 12:00:00,False,False,winter,0.122,0.103,0.634
2024-01-05 13:00:00,False,False,winter,0.122,0.103,0.573
2024-01-05 14:00:00,False,False,winter,0.122,0.103,0.327
2024-01-05 15:00:00,False,False,winter,0.122,0.103,0.17
2024-01-05 16:00:00,False,False,winter,0.122,0.103,0.032
2024-01-05 18:00:00,False,False,winter,0.182,0.103,0.0
2024-01-06 04:00:00,True,False,winter,0.087,0.103,0.0
2024-01-06 08:00:00,True,False,winter,0.087,0.103,0.035
2024-01-06 09:00:00,True,False,winter,0.087,0.103,0.107
2024-01-06 10:00:00,True,False,winter,0.087,0.103,0.266
2024-01-06 11:00:00,True,False,winter,0.087,0.103,0.35
2024-01-06 12:00:00,True,False,winter,0.087,0.103,0.632
2024-01-06 13:00:00,True,False,winter,0.087,0.103,0.783
2024-01-06 14:00:00,True,False,winter,0.087,0.103,0.562
2024-01-06 15:00:00,True,False,winter,0.087,0.103,0.175
2024-01-06 16:00:00,True,False,winter,0.087,0.103,0.008
2024-01-06 18:00:00,True,False,winter,0.087,0.103,0.0
2024-01-07 04:00:00,True,False,winter,0.087,0.103,0.0
2024-01-07 08:00:00,True,False,winter,0.087,0.103,0.0
2024-01-07 09:00:00,True,False,winter,0.087,0.103,0.041
2024-01-07 10:00:00,True,False,winter,0.087,0.103,0.077
