Month,Gas m3,Gas supply rate,Delivery to you / m3,Carbon charge / m3,Actual price / m3,Gas customer charge,Total gas bill,Electric kWh,Utility Electric kWhr,Price / kWh (<=1000),"Price / kWh (>600, 1000)",Delivery charge / kWh,Delivery Fixed,Regulatory,TOU Credit,Total electricity bill,
2021-12-01,94,0.17148,0.06,0.0783,0.30978,22.87,51.98932,,0,0.098,0.115,,,,,,
2022-01-01,391,0.180529,0.057,0.0783,0.315829,22.94,146.429139,527,0,0.082,0.082,,,,,,
2022-02-01,350,0.180529,0.065,0.0783,0.323829,23.18,136.52015,476,0,0.087,0.103,,,,,,
2022-03-01,352,0.180529,0.065,0.0783,0.323829,23.18,137.167808,713,0,0.087,0.103,,,,,,
2022-04-01,287,0.201518,0.07,0.0979,0.369418,23.18,129.202966,450,0,0.087,0.103,,,,,,
2022-05-01,155,0.201518,0.07,0.0979,0.369418,23.18,80.43979,403,0,0.087,0.103,,,,,,
2022-06-01,36,0.313751,0.07,0.0979,0.481651,23.18,40.519436,279,0,0.087,0.103,,,,,,
2022-07-01,33,0.313751,0.07,0.0979,0.481651,23.18,39.074483,465,0,0.087,0.103,,,,,,
2022-08-01,20,0.313751,0.07,0.0979,0.481651,23.18,32.81302,527,0,0.087,0.103,,,,,,
2022-09-01,18,0.313751,0.07,0.0979,0.481651,23.18,31.849718,510,0,0.087,0.103,,,,,94.33,1246.76
2022-10-01,39,0.36091,0.07,0.0979,0.52881,23.18,43.80359,702.74,0,0.087,0.103,,,,,117.21,1717.96
2022-11-01,46,0.36091,0.07,0.0979,0.52881,23.18,47.50526,664.7,0,0.087,0.103,,,,,107.34,
2022-12-01,225,0.36091,0.07,0.0979,0.52881,23.18,142.16225,678.29,0,0.087,0.103,,,,,109.56,
2023-01-01,214,0.323821,0.07,0.0979,0.491721,23.31,128.538294,600.74,0,0.087,0.103,,,,,102,
2023-02-01,341,0.323821,0.07,0.0979,0.491721,23.98,191.656861,524.36,0,0.087,0.103,,,,,92.47,
2023-03-01,243,0.323821,0.07,0.0979,0.491721,23.98,143.468203,639.1,0,0.087,0.103,,,,,81.82,
2023-04-01,256,0.225958,0.07,0.1239,0.419858,23.98,131.463648,437.28,0,0.087,0.103,,,,,93.88,
2023-05-01,136,0.225958,0.07,0.1239,0.419858,23.98,81.080688,505.18,0,0.087,0.103,,,,,112.5,
2023-06-01,35,0.227759,0.07,0.1239,0.421659,23.98,38.738065,646.35,0,0.087,0.103,,,,,107.73,
2023-07-01,32,0.227759,0.07,0.1239,0.421659,23.98,37.473088,636.35,0,0.087,0.103,,,,,113.74,
2023-08-01,34,0.227759,0.07,0.1239,0.421659,23.98,38.316406,668.65,0,0.087,0.103,,,,,114.18,
2023-09-01,14,0.227759,0.07,0.1239,0.421659,23.98,29.883226,670.25,0,0.087,0.103,,,,,113.74,
2023-10-01,10,0.223935,0.07,0.1239,0.417835,23.98,28.15835,1036.47,0,0.087,0.103,,,,,158.46,
2023-11-01,8,0.223935,0.07,0.1239,0.417835,23.98,27.32268,1309,0,0.103,0.125,0.025,,,,194.11,
2023-12-01,0,0.223935,0.08,0.1239,0.427835,23.98,23.98,1391,32,0.103,0.125,0.025,31.22,7.62,,221.57,
2024-01-01,1,0.192506,0.07,0.1239,0.386406,23.98,24.366406,1796,15,0.103,0.125,0.025,,,,301.01,
2024-02-01,1,0.192506,0.08,0.1239,0.396406,23.98,24.376406,1260,141,0.103,0.125,0.025,,,,193.32,
2024-03-01,1,0.154022,0.08,0.1239,0.357922,23.98,24.337922,1139,223,0.103,0.125,0.025,,,,173.32,
2024-04-01,0,0.112007,,0.1525,0.264507,23.98,23.98,804,231,0.103,0.125,0.025,,,,103.99,
2024-05-01,1,0.112007,0.03,0.1525,0.294507,26.85,27.144507,544,490,0.103,0.125,0.025,,,,61.91,
2024-06-01,0,0.112007,,0.1525,0.264507,26.85,26.85,511,390,0.103,0.125,0.025,,,,58.91,
2024-07-01,2,0.130159,0.03,0.1525,0.312659,26.85,27.475318,597,380,0.103,0.125,0.025,,,,66.71,
2024-08-01,0,,,,,26.85,26.85,478,458,0.103,0.125,0.025,,,,70.91,
2024-09-01,,,,,,,,368,369,0.103,0.125,0.025,28.65,0.23,20.02,8.73,
2024-10-01,,0,,,,,,568.769,373,,,0.025,28.65,,16.95,57.9,
2024-11-01,,,,,,,,922,131,,,0.025,28.65,,2.52,133.3,
2024-12-01,,,,,,,,1648.781,28,,,0.025,28.65,,,246.4,
