Date,Irradiance (kWh/m^2/day)
2015-01-01,0.74
2015-01-02,1.84
2015-01-03,0.41
2015-01-04,0.72
2015-01-05,1.6
2015-01-06,1.45
2015-01-07,1.56
2015-01-08,1.19
2015-01-09,1.62
2015-01-10,1.77
2015-01-11,1.41
2015-01-12,0.83
2015-01-13,2.06
2015-01-14,2.14
2015-01-15,1.63
2015-01-16,2.29
2015-01-17,1.44
2015-01-18,0.93
2015-01-19,1.7
2015-01-20,2.51
2015-01-21,1.5
2015-01-22,2.57
2015-01-23,2.51
2015-01-24,0.64
2015-01-25,2.86
2015-01-26,1.8
2015-01-27,2.26
2015-01-28,2.9
2015-01-29,0.29
2015-01-30,2.64
2015-01-31,1.82
2015-02-01,0.72
2015-02-02,1.65
2015-02-03,1.99
2015-02-04,0.47
2015-02-05,2.95
2015-02-06,2.17
2015-02-07,0.68
2015-02-08,0.38
2015-02-09,1.12
2015-02-10,2.09
2015-02-11,1.22
2015-02-12,3.16
2015-02-13,2.58
2015-02-14,1.59
2015-02-15,2.43
2015-02-16,3.13
2015-02-17,2.52
2015-02-18,1.97
2015-02-19,3.11
2015-02-20,2.91
2015-02-21,0.82
2015-02-22,1.78
2015-02-23,2.7
2015-02-24,2.62
2015-02-25,3.47
2015-02-26,2.73
2015-02-27,3.7
2015-02-28,3.39
2015-03-01,1.71
2015-03-02,2.82
2015-03-03,0.56
2015-03-04,2.1
2015-03-05,3.3
2015-03-06,3.73
2015-03-07,2.12
2015-03-08,3.69
2015-03-09,4.83
2015-03-10,1.83
2015-03-11,4.83
2015-03-12,5.15
2015-03-13,3.91
2015-03-14,1.58
2015-03-15,3.66
2015-03-16,2.66
2015-03-17,5.21
2015-03-18,4.78
2015-03-19,5.52
2015-03-20,5.08
2015-03-21,3.54
2015-03-22,5.79
2015-03-23,5.99
2015-03-24,6.08
2015-03-25,1.05
2015-03-26,1.58
2015-03-27,3.6
2015-03-28,6.4
2015-03-29,6.16
2015-03-30,3.32
2015-03-31,4.69
2015-04-01,6.14
2015-04-02,3.62
2015-04-03,3.67
2015-04-04,5.38
2015-04-05,2.54
2015-04-06,4.46
2015-04-07,3.63
2015-04-08,0.71
2015-04-09,1.32
2015-04-10,3.07
2015-04-11,5.03
2015-04-12,6.68
2015-04-13,5.07
2015-04-14,6.06
2015-04-15,7.05
2015-04-16,5.39
2015-04-17,6.21
2015-04-18,6.93
2015-04-19,6.11
2015-04-20,2.38
2015-04-21,4.58
2015-04-22,3.19
2015-04-23,2.89
2015-04-24,5.66
2015-04-25,7.51
2015-04-26,5.87
2015-04-27,3.7
2015-04-28,7.11
2015-04-29,6.84
2015-04-30,5.59
2015-05-01,5.75
2015-05-02,7.26
2015-05-03,6.6
2015-05-04,3.48
2015-05-05,3.66
2015-05-06,7.12
2015-05-07,7.43
2015-05-08,6.79
2015-05-09,5.95
2015-05-10,4.85
2015-05-11,4.83
2015-05-12,3.09
2015-05-13,4.42
2015-05-14,8.05
2015-05-15,2.6
2015-05-16,5.51
2015-05-17,7.06
2015-05-18,5.66
2015-05-19,4.8
2015-05-20,8.24
2015-05-21,7.49
2015-05-22,7.54
2015-05-23,8.41
2015-05-24,6.55
2015-05-25,5.09
2015-05-26,6.69
2015-05-27,6.06
2015-05-28,7.83
2015-05-29,5.89
2015-05-30,5.35
2015-05-31,1.8
2015-06-01,4.14
2015-06-02,8.28
2015-06-03,8.43
2015-06-04,6.95
2015-06-05,4.87
2015-06-06,8.64
2015-06-07,6.74
2015-06-08,2.83
2015-06-09,4.47
2015-06-10,5.55
2015-06-11,6.84
2015-06-12,2.71
2015-06-13,6.12
2015-06-14,2.4
2015-06-15,4.85
2015-06-16,7.31
2015-06-17,7.26
2015-06-18,6.37
2015-06-19,6.61
2015-06-20,7.01
2015-06-21,6.61
2015-06-22,7.07
2015-06-23,6.86
2015-06-24,8.03
2015-06-25,5.17
2015-06-26,7.5
2015-06-27,1.23
2015-06-28,2.37
2015-06-29,7.31
2015-06-30,2.97
2015-07-01,5.23
2015-07-02,7.55
2015-07-03,7.65
2015-07-04,7.28
2015-07-05,6.6
2015-07-06,6.78
2015-07-07,3.47
2015-07-08,6.17
2015-07-09,4.27
2015-07-10,7.4
2015-07-11,7.66
2015-07-12,6.2
2015-07-13,7.13
2015-07-14,3.0
2015-07-15,7.74
2015-07-16,7.95
2015-07-17,1.91
2015-07-18,6.42
2015-07-19,6.09
2015-07-20,6.39
2015-07-21,7.54
2015-07-22,7.47
2015-07-23,7.52
2015-07-24,7.11
2015-07-25,5.58
2015-07-26,6.86
2015-07-27,7.43
2015-07-28,7.3
2015-07-29,6.63
2015-07-30,7.39
2015-07-31,6.79
2015-08-01,6.55
2015-08-02,6.42
2015-08-03,6.3
2015-08-04,5.38
2015-08-05,6.34
2015-08-06,6.36
2015-08-07,6.82
2015-08-08,3.92
2015-08-09,7.26
2015-08-10,2.54
2015-08-11,6.1
2015-08-12,5.97
2015-08-13,6.35
2015-08-14,2.74
2015-08-15,6.23
2015-08-16,6.65
2015-08-17,6.25
2015-08-18,2.87
2015-08-19,5.73
2015-08-20,3.42
2015-08-21,4.55
2015-08-22,6.8
2015-08-23,6.41
2015-08-24,4.98
2015-08-25,3.86
2015-08-26,3.09
2015-08-27,3.56
2015-08-28,5.82
2015-08-29,3.22
2015-08-30,4.52
2015-08-31,5.44
2015-09-01,5.11
2015-09-02,4.92
2015-09-03,4.79
2015-09-04,5.38
2015-09-05,5.4
2015-09-06,5.19
2015-09-07,5.27
2015-09-08,3.85
2015-09-09,2.83
2015-09-10,5.39
2015-09-11,3.62
2015-09-12,1.46
2015-09-13,1.4
2015-09-14,5.84
2015-09-15,5.65
2015-09-16,5.58
2015-09-17,5.56
2015-09-18,3.49
2015-09-19,1.86
2015-09-20,5.08
2015-09-21,4.73
2015-09-22,4.97
2015-09-23,5.17
2015-09-24,4.68
2015-09-25,4.3
2015-09-26,4.36
2015-09-27,4.23
2015-09-28,1.67
2015-09-29,1.04
2015-09-30,3.65
2015-10-01,4.8
2015-10-02,2.94
2015-10-03,1.74
2015-10-04,2.79
2015-10-05,1.68
2015-10-06,1.71
2015-10-07,3.18
2015-10-08,3.81
2015-10-09,1.76
2015-10-10,4.14
2015-10-11,4.22
2015-10-12,4.12
2015-10-13,2.39
2015-10-14,2.27
2015-10-15,3.09
2015-10-16,2.82
2015-10-17,2.98
2015-10-18,2.64
2015-10-19,3.46
2015-10-20,1.6
2015-10-21,1.43
2015-10-22,3.36
2015-10-23,3.98
2015-10-24,0.8
2015-10-25,2.76
2015-10-26,3.29
2015-10-27,2.45
2015-10-28,0.63
2015-10-29,2.21
2015-10-30,3.02
2015-10-31,1.46
2015-11-01,2.38
2015-11-02,3.12
2015-11-03,3.14
2015-11-04,2.78
2015-11-05,2.1
2015-11-06,1.48
2015-11-07,2.11
2015-11-08,3.01
2015-11-09,3.12
2015-11-10,0.8
2015-11-11,1.53
2015-11-12,0.51
2015-11-13,1.35
2015-11-14,1.34
2015-11-15,2.57
2015-11-16,2.64
2015-11-17,2.26
2015-11-18,1.22
2015-11-19,1.81
2015-11-20,2.36
2015-11-21,0.7
2015-11-22,1.76
2015-11-23,1.54
2015-11-24,1.61
2015-11-25,2.29
2015-11-26,0.97
2015-11-27,0.45
2015-11-28,1.51
2015-11-29,1.91
2015-11-30,1.77
2015-12-01,0.67
2015-12-02,1.6
2015-12-03,1.37
2015-12-04,0.64
2015-12-05,1.61
2015-12-06,1.21
2015-12-07,1.05
2015-12-08,1.15
2015-12-09,1.92
2015-12-10,1.1
2015-12-11,1.94
2015-12-12,0.64
2015-12-13,0.42
2015-12-14,0.64
2015-12-15,1.02
2015-12-16,0.65
2015-12-17,1.63
2015-12-18,1.12
2015-12-19,0.87
2015-12-20,1.65
2015-12-21,0.49
2015-12-22,1.06
2015-12-23,1.19
2015-12-24,2.1
2015-12-25,1.38
2015-12-26,1.09
2015-12-27,0.55
2015-12-28,0.81
2015-12-29,0.6
2015-12-30,0.74
2015-12-31,0.45
2016-01-01,1.08
2016-01-02,0.53
2016-01-03,1.07
2016-01-04,1.84
2016-01-05,2.12
2016-01-06,1.92
2016-01-07,1.78
2016-01-08,1.22
2016-01-09,0.82
2016-01-10,0.34
2016-01-11,2.08
2016-01-12,0.91
2016-01-13,1.4
2016-01-14,1.42
2016-01-15,0.79
2016-01-16,1.68
2016-01-17,1.01
2016-01-18,1.84
2016-01-19,1.9
2016-01-20,1.12
2016-01-21,1.59
2016-01-22,1.86
2016-01-23,2.31
2016-01-24,1.25
2016-01-25,1.6
2016-01-26,0.69
2016-01-27,2.13
2016-01-28,0.93
2016-01-29,2.58
2016-01-30,2.05
2016-01-31,1.42
2016-02-01,2.88
2016-02-02,2.24
2016-02-03,1.63
2016-02-04,2.71
2016-02-05,1.96
2016-02-06,2.53
2016-02-07,2.57
2016-02-08,1.71
2016-02-09,0.95
2016-02-10,1.95
2016-02-11,2.79
2016-02-12,1.86
2016-02-13,2.53
2016-02-14,2.3
2016-02-15,1.1
2016-02-16,0.84
2016-02-17,1.96
2016-02-18,3.29
2016-02-19,2.03
2016-02-20,2.98
2016-02-21,2.91
2016-02-22,3.99
2016-02-23,3.29
2016-02-24,0.75
2016-02-25,1.26
2016-02-26,3.9
2016-02-27,3.34
2016-02-28,4.06
2016-02-29,2.5
2016-03-01,1.2
2016-03-02,3.6
2016-03-03,2.33
2016-03-04,2.88
2016-03-05,2.62
2016-03-06,3.89
2016-03-07,3.12
2016-03-08,3.2
2016-03-09,2.42
2016-03-10,0.92
2016-03-11,3.91
2016-03-12,4.45
2016-03-13,2.75
2016-03-14,0.89
2016-03-15,1.55
2016-03-16,1.92
2016-03-17,3.39
2016-03-18,3.3
2016-03-19,5.62
2016-03-20,5.41
2016-03-21,3.99
2016-03-22,2.2
2016-03-23,1.18
2016-03-24,1.23
2016-03-25,2.71
2016-03-26,5.41
2016-03-27,5.5
2016-03-28,1.32
2016-03-29,6.48
2016-03-30,5.04
2016-03-31,1.2
2016-04-01,2.84
2016-04-02,3.67
2016-04-03,3.87
2016-04-04,2.94
2016-04-05,6.19
2016-04-06,1.26
2016-04-07,2.89
2016-04-08,5.09
2016-04-09,6.55
2016-04-10,2.7
2016-04-11,1.62
2016-04-12,4.28
2016-04-13,5.79
2016-04-14,7.06
2016-04-15,6.99
2016-04-16,6.7
2016-04-17,7.11
2016-04-18,6.65
2016-04-19,7.05
2016-04-20,7.18
2016-04-21,2.8
2016-04-22,4.22
2016-04-23,7.49
2016-04-24,5.45
2016-04-25,3.68
2016-04-26,2.01
2016-04-27,7.4
2016-04-28,3.65
2016-04-29,4.25
2016-04-30,6.15
2016-05-01,1.51
2016-05-02,3.8
2016-05-03,5.61
2016-05-04,6.48
2016-05-05,5.08
2016-05-06,7.45
2016-05-07,4.27
2016-05-08,5.14
2016-05-09,7.73
2016-05-10,6.43
2016-05-11,6.17
2016-05-12,6.26
2016-05-13,6.36
2016-05-14,3.01
2016-05-15,4.54
2016-05-16,6.97
